device,model,policy,iso_e_j_per_inf,srv_e_j_per_inf,iso_rank,srv_rank,rank_delta,top1_different,profile_reliable
gpu-server,efficientnet-b4,capacity,0.887603,0.783038,2,2,0,True,True
orin,efficientnet-b4,capacity,0.23836,0.313235,0,1,1,True,True
xavier,efficientnet-b4,capacity,0.513475,0.264286,1,0,-1,True,True
gpu-server,efficientnet-b4,e_inc,0.887603,0.647357,2,2,0,True,True
orin,efficientnet-b4,e_inc,0.23836,0.26758,0,1,1,True,True
xavier,efficientnet-b4,e_inc,0.513475,0.264286,1,0,-1,True,True
gpu-server,mobilenet-v2-050,capacity,0.081843,0.052222,6,4,-2,True,True
jetson,mobilenet-v2-050,capacity,0.036609,0.048736,3,3,0,True,True
lattepanda,mobilenet-v2-050,capacity,0.067023,0.08133,4,5,1,True,True
orangepi,mobilenet-v2-050,capacity,0.076236,0.100293,5,6,1,True,True
orangepi-npu,mobilenet-v2-050,capacity,0.008912,0.010418,1,0,-1,True,True
orin,mobilenet-v2-050,capacity,0.006838,0.012186,0,1,1,True,True
rasp5,mobilenet-v2-050,capacity,0.086544,0.100698,7,7,0,True,True
xavier,mobilenet-v2-050,capacity,0.018227,0.022918,2,2,0,True,True
gpu-server,mobilenet-v2-050,e_inc,0.081843,0.052222,6,4,-2,True,True
jetson,mobilenet-v2-050,e_inc,0.036609,0.048736,3,3,0,True,True
lattepanda,mobilenet-v2-050,e_inc,0.067023,0.08133,4,5,1,True,True
orangepi,mobilenet-v2-050,e_inc,0.076236,0.100293,5,6,1,True,True
orangepi-npu,mobilenet-v2-050,e_inc,0.008912,0.010418,1,0,-1,True,True
orin,mobilenet-v2-050,e_inc,0.006838,0.012186,0,1,1,True,True
rasp5,mobilenet-v2-050,e_inc,0.086544,0.100698,7,7,0,True,True
xavier,mobilenet-v2-050,e_inc,0.018227,0.022918,2,2,0,True,True
gpu-server,mobilenet-v2-100,capacity,0.058605,0.079023,3,4,1,True,True
jetson,mobilenet-v2-100,capacity,0.073065,0.078,4,3,-1,True,True
lattepanda,mobilenet-v2-100,capacity,0.165653,0.225572,6,7,1,True,True
orangepi,mobilenet-v2-100,capacity,0.16531,0.205708,5,5,0,True,True
orangepi-npu,mobilenet-v2-100,capacity,0.013005,0.015574,1,0,-1,True,True
orin,mobilenet-v2-100,capacity,0.011879,0.018789,0,1,1,True,True
rasp5,mobilenet-v2-100,capacity,0.189885,0.214615,7,6,-1,True,True
xavier,mobilenet-v2-100,capacity,0.033072,0.037553,2,2,0,True,True
gpu-server,mobilenet-v2-100,e_inc,0.058605,0.079023,3,4,1,True,True
jetson,mobilenet-v2-100,e_inc,0.073065,0.078,4,3,-1,True,True
lattepanda,mobilenet-v2-100,e_inc,0.165653,0.225572,6,7,1,True,True
orangepi,mobilenet-v2-100,e_inc,0.16531,0.205708,5,5,0,True,True
orangepi-npu,mobilenet-v2-100,e_inc,0.013005,0.015574,1,0,-1,True,True
orin,mobilenet-v2-100,e_inc,0.011879,0.018789,0,1,1,True,True
rasp5,mobilenet-v2-100,e_inc,0.189885,0.214615,7,6,-1,True,True
xavier,mobilenet-v2-100,e_inc,0.033072,0.037553,2,2,0,True,True
