model,model_label,segment,segment_label,segment_hex,device,dvfs_mode,dvfs_mode_label,condition_tag,capacity_ips,lambda_frac,load_group_pct,target_rps,n_runs,p95_latency_ms,ac_input_energy_j_per_inf,p95_deadline_feasible,deadline_normalized_ac_input_energy_delay_j_per_inf,deadline_normalized_edp_efficiency_inf_per_j,ac_input_energy_efficiency_inf_per_j
mobilenet-v2-050,MobileNet-V2 0.5,Server,Server,D55E00,gpu-server,0,300MHz,dvfs0,230.6,0.25,25,57.65,10,19.57,0.056349,1,0.0110274993,90.68239070303092,17.74654386058315
mobilenet-v2-050,MobileNet-V2 0.5,Server,Server,D55E00,gpu-server,1,420MHz,dvfs1,427.5,0.25,25,106.88,10,20.57,0.053098,1,0.010922258600000002,91.55615487807621,18.83310105842028
mobilenet-v2-050,MobileNet-V2 0.5,Server,Server,D55E00,gpu-server,2,600MHz,dvfs2,491.6,0.25,25,122.9,10,19.91,0.044952,1,0.0089499432,111.73255267139572,22.24595123687489
mobilenet-v2-050,MobileNet-V2 0.5,Server,Server,D55E00,gpu-server,3,810MHz,dvfs3,540.0,0.25,25,135.0,10,19.58,0.051343,1,0.010052959399999999,99.4731959227847,19.476851761681242
mobilenet-v2-050,MobileNet-V2 0.5,Server,Server,D55E00,gpu-server,4,1005MHz,dvfs4,568.6,0.25,25,142.15,10,19.76,0.052616,1,0.010396921600000003,96.18231611941748,19.0056256651969
mobilenet-v2-050,MobileNet-V2 0.5,Server,Server,D55E00,gpu-server,5,1200MHz,dvfs5,607.5,0.25,25,151.88,10,20.44,0.049523,1,0.0101225012,98.7898129367473,20.192637764271147
mobilenet-v2-050,MobileNet-V2 0.5,Server,Server,D55E00,gpu-server,6,1410MHz,dvfs6,562.5,0.25,25,140.62,10,19.825,0.055058,1,0.0109152485,91.6149549870532,18.162664826183295
mobilenet-v2-050,MobileNet-V2 0.5,Server,Server,D55E00,gpu-server,7,1545MHz,dvfs7,585.0,0.25,25,146.25,10,20.06,0.052373,1,0.0105060238,95.1834889237544,19.093807878105128
mobilenet-v2-050,MobileNet-V2 0.5,Server,Server,D55E00,gpu-server,8,1710MHz,dvfs8,562.5,0.25,25,140.62,10,20.135,0.059915,1,0.012063885250000001,82.89203513436932,16.690311274305266
mobilenet-v2-050,MobileNet-V2 0.5,Server,Server,D55E00,gpu-server,9,1800MHz,dvfs9,598.5,0.25,25,149.62,10,20.435,0.069531,1,0.014208659849999998,70.37961430261139,14.382074182738636
