device,model,dvfs_mode,dvfs_mode_label,condition_tag,segment,lambda_frac,capacity_ips,capacity_selection,capacity_power_status,capacity_delta_w,target_rps,achieved_rps_median,achieved_target_ratio,n_runs,p95_latency_ms_median,p95_latency_ms_max,warm_idle_w_median,serving_w_median,delta_w_median,marginal_wall_energy_j_per_inf_median,marginal_wall_energy_j_per_inf_min,marginal_wall_energy_j_per_inf_max,flag_slo_median_violation,flag_slo_any_run_violation,flag_low_delta_median,flag_nonpositive_delta_run,flag_nonpositive_energy_run,n_runs_p95_gt_lmax,n_runs_delta_le_zero,n_runs_delta_lt_low,n_runs_energy_le_zero,source_capacity_json
gpu-server,efficientnet-b4,0,300MHz,dvfs0,server,0.25,5.4,confirmed,ok,5.52,1.35,1.31,0.97037,10,40.095,51.6,98.525,100.105,1.615,1.247495,0.852113,1.8,0,0,0,0,0,0,0,0,0,20260514T083629+0900_168_gpu-server_effb4_dvfs0_cuda_v2.json
gpu-server,efficientnet-b4,0,300MHz,dvfs0,server,0.5,5.4,confirmed,ok,5.52,2.7,2.83,1.048148,10,56.295,63.03,98.6,101.225,2.625,0.948377,0.50431,1.158416,0,0,0,0,0,0,0,0,0,20260514T083629+0900_168_gpu-server_effb4_dvfs0_cuda_v2.json
gpu-server,efficientnet-b4,0,300MHz,dvfs0,server,0.75,5.4,confirmed,ok,5.52,4.05,4.21,1.039506,10,60.58,67.44,98.3,101.845,3.645,0.869798,0.59322,1.03012,0,0,0,0,0,0,0,0,0,20260514T083629+0900_168_gpu-server_effb4_dvfs0_cuda_v2.json
gpu-server,efficientnet-b4,0,300MHz,dvfs0,server,1.0,5.4,confirmed,ok,5.52,5.4,5.35,0.990741,10,64.795,69.45,98.375,102.955,4.89,0.862821,0.696154,0.991919,0,0,0,0,0,0,0,0,0,20260514T083629+0900_168_gpu-server_effb4_dvfs0_cuda_v2.json
gpu-server,efficientnet-b4,1,420MHz,dvfs1,server,0.25,42.2,confirmed,ok,29.23,10.55,10.56,1.000948,10,40.815,41.94,99.15,105.035,5.84,0.562616,0.457457,5.21337,0,0,0,0,0,0,0,0,0,20260514T085746+0900_493_gpu-server_effb4_dvfs1_cuda_v2.json
gpu-server,efficientnet-b4,1,420MHz,dvfs1,server,0.5,42.2,confirmed,ok,29.23,21.1,20.975,0.994076,10,47.23,52.33,98.4,111.965,13.44,0.637916,0.606488,0.676937,0,0,0,0,0,0,0,0,0,20260514T085746+0900_493_gpu-server_effb4_dvfs1_cuda_v2.json
gpu-server,efficientnet-b4,1,420MHz,dvfs1,server,0.75,42.2,confirmed,ok,29.23,31.65,31.66,1.000316,10,61.06,70.75,99.05,120.37,21.195,0.671662,0.648249,0.709707,0,0,0,0,0,0,0,0,0,20260514T085746+0900_493_gpu-server_effb4_dvfs1_cuda_v2.json
gpu-server,efficientnet-b4,1,420MHz,dvfs1,server,1.0,42.2,confirmed,ok,29.23,42.2,42.22,1.000474,10,91.995,119.12,99.65,129.775,30.325,0.704489,0.685491,0.729316,0,1,0,0,0,2,0,0,0,20260514T085746+0900_493_gpu-server_effb4_dvfs1_cuda_v2.json
gpu-server,efficientnet-b4,2,600MHz,dvfs2,server,0.25,59.1,confirmed,ok,39.88,14.78,14.605,0.98816,10,38.495,41.31,98.925,106.935,8.04,0.545516,0.48968,3.706186,0,0,0,0,0,0,0,0,0,20260514T091256+0900_302_gpu-server_effb4_dvfs2_cuda_v2.json
gpu-server,efficientnet-b4,2,600MHz,dvfs2,server,0.5,59.1,confirmed,ok,39.88,29.55,29.335,0.992724,10,42.985,47.14,98.8,116.365,17.495,0.595001,0.572449,0.629937,0,0,0,0,0,0,0,0,0,20260514T091256+0900_302_gpu-server_effb4_dvfs2_cuda_v2.json
gpu-server,efficientnet-b4,2,600MHz,dvfs2,server,0.75,59.1,confirmed,ok,39.88,44.33,44.7,1.008346,10,54.665,60.77,99.0,127.775,28.765,0.641313,0.621518,0.671302,0,0,0,0,0,0,0,0,0,20260514T091256+0900_302_gpu-server_effb4_dvfs2_cuda_v2.json
gpu-server,efficientnet-b4,2,600MHz,dvfs2,server,1.0,59.1,confirmed,ok,39.88,59.1,59.485,1.006514,10,101.095,111.85,99.775,138.93,38.985,0.652729,0.640178,0.671365,1,1,0,0,0,5,0,0,0,20260514T091256+0900_302_gpu-server_effb4_dvfs2_cuda_v2.json
gpu-server,efficientnet-b4,3,810MHz,dvfs3,server,0.25,75.9,confirmed,ok,47.46,18.98,18.63,0.98156,10,39.425,40.9,99.15,108.76,9.66,0.514971,0.4464,2.941649,0,0,0,0,0,0,0,0,0,20260514T092642+0900_124_gpu-server_effb4_dvfs3_cuda_v2.json
gpu-server,efficientnet-b4,3,810MHz,dvfs3,server,0.5,75.9,confirmed,ok,47.46,37.95,37.565,0.989855,10,41.21,42.23,99.4,120.19,20.815,0.555786,0.525333,0.579059,0,0,0,0,0,0,0,0,0,20260514T092642+0900_124_gpu-server_effb4_dvfs3_cuda_v2.json
gpu-server,efficientnet-b4,3,810MHz,dvfs3,server,0.75,75.9,confirmed,ok,47.46,56.93,56.505,0.992535,10,46.64,48.79,99.65,132.155,32.265,0.579155,0.5569,0.58875,0,0,0,0,0,0,0,0,0,20260514T092642+0900_124_gpu-server_effb4_dvfs3_cuda_v2.json
