device,model,dvfs_mode,dvfs_mode_label,condition_tag,expected_ep,capacity_ips,capacity_ci_low,capacity_ci_high,capacity_selection,capacity_confirmed,power_status,power_samples,warm_idle_w,serving_w,delta_w,source_json,batch_size
gpu-server,efficientnet-b4,0,300MHz,dvfs0,CUDAExecutionProvider,5.4,5.4,5.6,confirmed,true,ok,2266,97.65,103.17,5.52,20260514T083629+0900_168_gpu-server_effb4_dvfs0_cuda_v2.json,1
gpu-server,efficientnet-b4,1,420MHz,dvfs1,CUDAExecutionProvider,42.2,42.2,43.6,confirmed,true,ok,1671,100.0,129.23,29.23,20260514T085746+0900_493_gpu-server_effb4_dvfs1_cuda_v2.json,1
gpu-server,efficientnet-b4,2,600MHz,dvfs2,CUDAExecutionProvider,59.1,59.1,61.9,confirmed,true,ok,1509,99.95,139.83,39.88,20260514T091256+0900_302_gpu-server_effb4_dvfs2_cuda_v2.json,1
gpu-server,efficientnet-b4,3,810MHz,dvfs3,CUDAExecutionProvider,75.9,75.9,78.8,confirmed,true,ok,1480,99.9,147.36,47.46,20260514T092642+0900_124_gpu-server_effb4_dvfs3_cuda_v2.json,1
gpu-server,efficientnet-b4,4,1005MHz,dvfs4,CUDAExecutionProvider,88.2,88.2,91.6,confirmed,true,ok,1300,101.1,153.97,52.87,20260514T094010+0900_638_gpu-server_effb4_dvfs4_cuda_v2.json,1
gpu-server,efficientnet-b4,5,1200MHz,dvfs5,CUDAExecutionProvider,112.5,112.5,115.3,confirmed,true,ok,1494,102.75,165.96,63.21,20260514T095159+0900_494_gpu-server_effb4_dvfs5_cuda_v2.json,1
gpu-server,efficientnet-b4,6,1410MHz,dvfs6,CUDAExecutionProvider,117.6,117.6,129.4,confirmed_after_backoff,true,ok,1705,106.8,178.54,71.74,20260514T100531+0900_157_gpu-server_effb4_dvfs6_cuda_v2.json,1
gpu-server,efficientnet-b4,7,1545MHz,dvfs7,CUDAExecutionProvider,129.4,129.4,135.0,confirmed,true,ok,1311,109.25,206.63,97.38,20260514T102053+0900_176_gpu-server_effb4_dvfs7_cuda_v2.json,1
gpu-server,efficientnet-b4,8,1710MHz,dvfs8,CUDAExecutionProvider,129.4,129.4,135.0,confirmed,true,ok,1304,119.7,250.99,131.29,20260514T103248+0900_338_gpu-server_effb4_dvfs8_cuda_v2.json,1
gpu-server,efficientnet-b4,9,1800MHz,dvfs9,CUDAExecutionProvider,133.6,133.6,146.2,confirmed_after_backoff,true,ok,1731,127.2,277.22,150.02,20260514T104439+0900_521_gpu-server_effb4_dvfs9_cuda_v2.json,1
gpu-server,efficientnet-b4,10,1905MHz,dvfs10,CUDAExecutionProvider,118.1,118.1,123.8,confirmed,true,ok,1338,134.6,278.53,143.93,20260514T110015+0900_003_gpu-server_effb4_dvfs10_cuda_v2.json,1
