device,model,dvfs_mode,dvfs_mode_label,condition_tag,segment,capacity_ips,lambda_frac,target_rps,n_runs,achieved_rps_median,achieved_rps_min,achieved_rps_max,p95_latency_ms_median,p95_latency_ms_max,warm_idle_w_median,serving_w_median,delta_w_median,marginal_wall_energy_j_per_inf_median,marginal_wall_energy_j_per_inf_min,marginal_wall_energy_j_per_inf_max,batch_size
gpu-server,efficientnet-b4,0,300MHz,dvfs0,server,5.4,0.25,1.35,10,1.31,1.05,1.53,40.095,51.6,98.525,100.105,1.615,1.247495,0.852113,1.8,1
gpu-server,efficientnet-b4,0,300MHz,dvfs0,server,5.4,0.5,2.7,10,2.83,2.32,3.03,56.295,63.03,98.6,101.225,2.625,0.948377,0.50431,1.158416,1
gpu-server,efficientnet-b4,0,300MHz,dvfs0,server,5.4,0.75,4.05,10,4.21,3.32,4.63,60.58,67.44,98.3,101.845,3.645,0.869798,0.59322,1.03012,1
gpu-server,efficientnet-b4,0,300MHz,dvfs0,server,5.4,1.0,5.4,10,5.35,4.77,5.98,64.795,69.45,98.375,102.955,4.89,0.862821,0.696154,0.991919,1
gpu-server,efficientnet-b4,1,420MHz,dvfs1,server,42.2,0.25,10.55,10,10.56,9.63,11.28,40.815,41.94,99.15,105.035,5.84,0.562616,0.457457,5.21337,1
gpu-server,efficientnet-b4,1,420MHz,dvfs1,server,42.2,0.5,21.1,10,20.975,20.17,22.07,47.23,52.33,98.4,111.965,13.44,0.637916,0.606488,0.676937,1
gpu-server,efficientnet-b4,1,420MHz,dvfs1,server,42.2,0.75,31.65,10,31.66,31.13,32.45,61.06,70.75,99.05,120.37,21.195,0.671662,0.648249,0.709707,1
gpu-server,efficientnet-b4,1,420MHz,dvfs1,server,42.2,1.0,42.2,10,42.22,40.85,43.82,91.995,119.12,99.65,129.775,30.325,0.704489,0.685491,0.729316,1
gpu-server,efficientnet-b4,2,600MHz,dvfs2,server,59.1,0.25,14.78,10,14.605,13.87,15.52,38.495,41.31,98.925,106.935,8.04,0.545516,0.48968,3.706186,1
gpu-server,efficientnet-b4,2,600MHz,dvfs2,server,59.1,0.5,29.55,10,29.335,27.88,30.13,42.985,47.14,98.8,116.365,17.495,0.595001,0.572449,0.629937,1
gpu-server,efficientnet-b4,2,600MHz,dvfs2,server,59.1,0.75,44.33,10,44.7,43.22,45.52,54.665,60.77,99.0,127.775,28.765,0.641313,0.621518,0.671302,1
gpu-server,efficientnet-b4,2,600MHz,dvfs2,server,59.1,1.0,59.1,10,59.485,57.72,61.73,101.095,111.85,99.775,138.93,38.985,0.652729,0.640178,0.671365,1
gpu-server,efficientnet-b4,3,810MHz,dvfs3,server,75.9,0.25,18.98,10,18.63,17.68,20.1,39.425,40.9,99.15,108.76,9.66,0.514971,0.4464,2.941649,1
gpu-server,efficientnet-b4,3,810MHz,dvfs3,server,75.9,0.5,37.95,10,37.565,36.27,39.08,41.21,42.23,99.4,120.19,20.815,0.555786,0.525333,0.579059,1
gpu-server,efficientnet-b4,3,810MHz,dvfs3,server,75.9,0.75,56.93,10,56.505,55.22,58.1,46.64,48.79,99.65,132.155,32.265,0.579155,0.5569,0.58875,1
gpu-server,efficientnet-b4,3,810MHz,dvfs3,server,75.9,1.0,75.9,10,76.115,75.28,77.98,81.64,95.9,100.6,145.495,44.91,0.586151,0.571051,0.606981,1
gpu-server,efficientnet-b4,4,1005MHz,dvfs4,server,88.2,0.25,22.05,10,21.815,20.48,22.83,38.675,40.65,99.775,110.95,11.015,0.50104,0.463931,0.552313,1
gpu-server,efficientnet-b4,4,1005MHz,dvfs4,server,88.2,0.5,44.1,10,43.88,43.08,45.05,40.655,42.13,99.6,124.005,24.375,0.552206,0.524759,1.544047,1
gpu-server,efficientnet-b4,4,1005MHz,dvfs4,server,88.2,0.75,66.15,10,66.035,64.87,67.05,48.2,50.52,100.35,138.21,37.725,0.574587,0.552802,0.593885,1
gpu-server,efficientnet-b4,4,1005MHz,dvfs4,server,88.2,1.0,88.2,10,88.66,87.55,90.23,90.15,112.17,100.95,153.825,52.78,0.593592,0.583053,0.605701,1
gpu-server,efficientnet-b4,5,1200MHz,dvfs5,server,112.5,0.25,28.12,10,27.985,27.17,29.93,37.91,39.76,100.975,114.62,13.685,0.48698,0.43099,0.507277,1
gpu-server,efficientnet-b4,5,1200MHz,dvfs5,server,112.5,0.5,56.25,10,56.2,55.72,58.55,39.23,39.63,100.85,130.675,29.49,0.525262,0.50233,0.535781,1
gpu-server,efficientnet-b4,5,1200MHz,dvfs5,server,112.5,0.75,84.38,10,83.87,82.58,85.15,44.9,48.78,102.225,148.305,45.88,0.54682,0.533484,0.562789,1
gpu-server,efficientnet-b4,5,1200MHz,dvfs5,server,112.5,1.0,112.5,10,112.29,109.43,116.5,105.9,144.78,102.775,166.195,63.19,0.563616,0.558896,0.573796,1
gpu-server,efficientnet-b4,6,1410MHz,dvfs6,server,117.6,0.25,29.4,10,29.62,28.05,30.65,38.89,40.17,102.925,118.59,15.755,0.528785,0.512237,0.549451,1
