device,model,dvfs_mode,dvfs_mode_label,condition_tag,segment,capacity_ips,lambda_frac,target_rps,run_idx,achieved_rps,p95_latency_ms,warm_idle_w,serving_w,delta_w,marginal_wall_energy_j_per_inf,n_valid_power_runs,power_status,source_json,batch_size
gpu-server,efficientnet-b4,0,300MHz,dvfs0,server,5.4,0.25,1.35,0,1.53,41.91,98.0,99.86,1.86,1.215686,1,ok,20260514T112741+0900_448_gpu-server_effb4_dvfs0_cuda_l025_r0_lsweep.json,1
gpu-server,efficientnet-b4,0,300MHz,dvfs0,server,5.4,0.25,1.35,1,1.42,41.13,98.8,100.01,1.21,0.852113,1,ok,20260514T112901+0900_597_gpu-server_effb4_dvfs0_cuda_l025_r1_lsweep.json,1
gpu-server,efficientnet-b4,0,300MHz,dvfs0,server,5.4,0.25,1.35,2,1.4,51.6,98.2,100.41,2.21,1.578571,1,ok,20260514T113020+0900_360_gpu-server_effb4_dvfs0_cuda_l025_r2_lsweep.json,1
gpu-server,efficientnet-b4,0,300MHz,dvfs0,server,5.4,0.25,1.35,3,1.13,39.71,99.0,100.03,1.03,0.911504,1,ok,20260514T113140+0900_525_gpu-server_effb4_dvfs0_cuda_l025_r3_lsweep.json,1
gpu-server,efficientnet-b4,0,300MHz,dvfs0,server,5.4,0.25,1.35,4,1.38,39.5,98.55,100.22,1.67,1.210145,1,ok,20260514T113300+0900_577_gpu-server_effb4_dvfs0_cuda_l025_r4_lsweep.json,1
gpu-server,efficientnet-b4,0,300MHz,dvfs0,server,5.4,0.25,1.35,5,1.27,40.08,98.6,100.21,1.61,1.267717,1,ok,20260514T113420+0900_558_gpu-server_effb4_dvfs0_cuda_l025_r5_lsweep.json,1
gpu-server,efficientnet-b4,0,300MHz,dvfs0,server,5.4,0.25,1.35,6,1.3,40.11,97.8,100.14,2.34,1.8,1,ok,20260514T113539+0900_951_gpu-server_effb4_dvfs0_cuda_l025_r6_lsweep.json,1
gpu-server,efficientnet-b4,0,300MHz,dvfs0,server,5.4,0.25,1.35,7,1.05,39.97,98.6,100.09,1.49,1.419048,1,ok,20260514T113659+0900_388_gpu-server_effb4_dvfs0_cuda_l025_r7_lsweep.json,1
gpu-server,efficientnet-b4,0,300MHz,dvfs0,server,5.4,0.25,1.35,8,1.15,44.43,98.4,100.0,1.6,1.391304,1,ok,20260514T113819+0900_372_gpu-server_effb4_dvfs0_cuda_l025_r8_lsweep.json,1
gpu-server,efficientnet-b4,0,300MHz,dvfs0,server,5.4,0.25,1.35,9,1.32,39.28,98.5,100.12,1.62,1.227273,1,ok,20260514T113939+0900_535_gpu-server_effb4_dvfs0_cuda_l025_r9_lsweep.json,1
gpu-server,efficientnet-b4,0,300MHz,dvfs0,server,5.4,0.5,2.7,0,2.5,45.06,99.3,101.15,1.85,0.74,1,ok,20260514T114059+0900_742_gpu-server_effb4_dvfs0_cuda_l050_r0_lsweep.json,1
gpu-server,efficientnet-b4,0,300MHz,dvfs0,server,5.4,0.5,2.7,1,2.32,56.67,99.55,100.72,1.17,0.50431,1,ok,20260514T114219+0900_260_gpu-server_effb4_dvfs0_cuda_l050_r1_lsweep.json,1
gpu-server,efficientnet-b4,0,300MHz,dvfs0,server,5.4,0.5,2.7,2,3.0,52.45,97.8,101.03,3.23,1.076667,1,ok,20260514T114339+0900_297_gpu-server_effb4_dvfs0_cuda_l050_r2_lsweep.json,1
gpu-server,efficientnet-b4,0,300MHz,dvfs0,server,5.4,0.5,2.7,3,3.03,59.35,98.0,101.51,3.51,1.158416,1,ok,20260514T114459+0900_236_gpu-server_effb4_dvfs0_cuda_l050_r3_lsweep.json,1
gpu-server,efficientnet-b4,0,300MHz,dvfs0,server,5.4,0.5,2.7,4,2.93,63.03,98.95,101.48,2.53,0.863481,1,ok,20260514T114618+0900_913_gpu-server_effb4_dvfs0_cuda_l050_r4_lsweep.json,1
gpu-server,efficientnet-b4,0,300MHz,dvfs0,server,5.4,0.5,2.7,5,2.62,55.92,98.6,101.24,2.64,1.007634,1,ok,20260514T114739+0900_049_gpu-server_effb4_dvfs0_cuda_l050_r5_lsweep.json,1
gpu-server,efficientnet-b4,0,300MHz,dvfs0,server,5.4,0.5,2.7,6,2.73,54.12,98.6,101.21,2.61,0.956044,1,ok,20260514T114858+0900_973_gpu-server_effb4_dvfs0_cuda_l050_r6_lsweep.json,1
gpu-server,efficientnet-b4,0,300MHz,dvfs0,server,5.4,0.5,2.7,7,2.95,55.56,98.4,101.51,3.11,1.054237,1,ok,20260514T115019+0900_009_gpu-server_effb4_dvfs0_cuda_l050_r7_lsweep.json,1
gpu-server,efficientnet-b4,0,300MHz,dvfs0,server,5.4,0.5,2.7,8,3.02,59.81,98.7,101.47,2.77,0.917219,1,ok,20260514T115138+0900_701_gpu-server_effb4_dvfs0_cuda_l050_r8_lsweep.json,1
gpu-server,efficientnet-b4,0,300MHz,dvfs0,server,5.4,0.5,2.7,9,2.53,56.95,98.6,100.98,2.38,0.940711,1,ok,20260514T115258+0900_132_gpu-server_effb4_dvfs0_cuda_l050_r9_lsweep.json,1
gpu-server,efficientnet-b4,0,300MHz,dvfs0,server,5.4,0.75,4.05,0,4.63,60.55,98.8,102.78,3.98,0.859611,1,ok,20260514T115417+0900_440_gpu-server_effb4_dvfs0_cuda_l075_r0_lsweep.json,1
gpu-server,efficientnet-b4,0,300MHz,dvfs0,server,5.4,0.75,4.05,1,4.58,60.61,98.15,102.45,4.3,0.938865,1,ok,20260514T115537+0900_552_gpu-server_effb4_dvfs0_cuda_l075_r1_lsweep.json,1
gpu-server,efficientnet-b4,0,300MHz,dvfs0,server,5.4,0.75,4.05,2,3.32,63.2,98.1,101.52,3.42,1.03012,1,ok,20260514T115657+0900_736_gpu-server_effb4_dvfs0_cuda_l075_r2_lsweep.json,1
gpu-server,efficientnet-b4,0,300MHz,dvfs0,server,5.4,0.75,4.05,3,3.98,60.23,98.5,102.39,3.89,0.977387,1,ok,20260514T115817+0900_744_gpu-server_effb4_dvfs0_cuda_l075_r3_lsweep.json,1
gpu-server,efficientnet-b4,0,300MHz,dvfs0,server,5.4,0.75,4.05,4,4.4,61.67,98.3,102.17,3.87,0.879545,1,ok,20260514T115937+0900_834_gpu-server_effb4_dvfs0_cuda_l075_r4_lsweep.json,1
gpu-server,efficientnet-b4,0,300MHz,dvfs0,server,5.4,0.75,4.05,5,4.13,61.63,99.4,101.85,2.45,0.59322,1,ok,20260514T120057+0900_752_gpu-server_effb4_dvfs0_cuda_l075_r5_lsweep.json,1
