device,model,policy,accuracy,iso_e_inc_j_per_inf,srv_marginal_wall_energy_j_per_inf,energy_surrogate_pct_diff,iso_idle_w,srv_warm_idle_w,idle_surrogate_pct_diff,iso_active_w,srv_avg_serving_w,active_surrogate_pct_diff,iso_dvfs_mode,iso_e_inc_reliable,iso_incremental_source
gpu-server,efficientnet-b4,capacity,0.732,0.887603,0.783038348082596,13.4,61.6,106.7,-42.3,159.924,212.88,-24.9,4,True,stable
gpu-server,efficientnet-b4,e_inc,0.732,0.887603,0.6473568281938327,37.1,61.6,96.8,-36.4,159.924,155.58,2.8,4,True,stable
gpu-server,mobilenet-v2-050,capacity,0.517,0.081843,0.052222222222222225,56.7,58.0,101.7,-43.0,130.741,132.25,-1.1,4,True,stable
gpu-server,mobilenet-v2-050,e_inc,0.517,0.081843,0.052222222222222225,56.7,58.0,101.7,-43.0,130.741,132.25,-1.1,4,True,stable
gpu-server,mobilenet-v2-100,capacity,0.591,0.058605,0.0790230451053772,-25.8,57.7,100.0,-42.3,140.708,140.12,0.4,4,True,stable
gpu-server,mobilenet-v2-100,e_inc,0.591,0.058605,0.0790230451053772,-25.8,57.7,100.0,-42.3,140.708,140.12,0.4,4,True,stable
jetson,mobilenet-v2-050,capacity,0.517,0.036609,0.0487360970677452,-24.9,3.0,3.0,0.0,7.648,7.82,-2.2,0,True,stable
jetson,mobilenet-v2-050,e_inc,0.517,0.036609,0.0487360970677452,-24.9,3.0,3.0,0.0,7.648,7.82,-2.2,0,True,stable
jetson,mobilenet-v2-100,capacity,0.591,0.073065,0.078,-6.3,3.3,3.7,-10.8,8.616,7.6,13.4,0,True,stable
jetson,mobilenet-v2-100,e_inc,0.591,0.073065,0.078,-6.3,3.3,3.7,-10.8,8.616,7.6,13.4,0,True,stable
lattepanda,mobilenet-v2-050,capacity,0.517,0.067023,0.08133030990173847,-17.6,4.5,4.4,2.3,17.179,15.16,13.3,0,True,stable
lattepanda,mobilenet-v2-050,e_inc,0.517,0.067023,0.08133030990173847,-17.6,4.5,4.4,2.3,17.179,15.16,13.3,0,True,stable
lattepanda,mobilenet-v2-100,capacity,0.591,0.165653,0.22557172557172556,-26.6,4.5,4.4,2.3,16.523,15.25,8.3,0,True,stable
lattepanda,mobilenet-v2-100,e_inc,0.591,0.165653,0.22557172557172556,-26.6,4.5,4.4,2.3,16.523,15.25,8.3,0,True,stable
orangepi,mobilenet-v2-050,capacity,0.517,0.076236,0.10029296874999999,-24.0,2.7,2.65,1.9,13.566,12.92,5.0,0,True,stable
orangepi,mobilenet-v2-050,e_inc,0.517,0.076236,0.10029296874999999,-24.0,2.7,2.65,1.9,13.566,12.92,5.0,0,True,stable
orangepi,mobilenet-v2-100,capacity,0.591,0.16531,0.20570776255707762,-19.6,2.8,2.8,0.0,13.828,11.81,17.1,0,True,stable
orangepi,mobilenet-v2-100,e_inc,0.591,0.16531,0.20570776255707762,-19.6,2.8,2.8,0.0,13.828,11.81,17.1,0,True,stable
orangepi-npu,mobilenet-v2-050,capacity,0.517,0.008912,0.010417602155365963,-14.5,2.7,2.8,-3.6,5.144,5.12,0.5,0,True,avg
orangepi-npu,mobilenet-v2-050,e_inc,0.517,0.008912,0.010417602155365963,-14.5,2.7,2.8,-3.6,5.144,5.12,0.5,0,True,avg
orangepi-npu,mobilenet-v2-100,capacity,0.591,0.013005,0.015574302401038288,-16.5,2.7,2.7,0.0,5.19,5.1,1.8,0,True,avg
orangepi-npu,mobilenet-v2-100,e_inc,0.591,0.013005,0.015574302401038288,-16.5,2.7,2.7,0.0,5.19,5.1,1.8,0,True,avg
orin,efficientnet-b4,capacity,0.732,0.23836,0.31323529411764706,-23.9,11.2,13.3,-15.8,20.969,38.86,-46.0,2,True,stable
orin,efficientnet-b4,e_inc,0.732,0.23836,0.2675799086757991,-10.9,11.2,11.2,0.0,20.969,17.06,22.9,2,True,stable
orin,mobilenet-v2-050,capacity,0.517,0.006838,0.012186379928315411,-43.9,10.9,11.35,-4.0,14.386,16.11,-10.7,2,True,stable
orin,mobilenet-v2-050,e_inc,0.517,0.006838,0.012186379928315411,-43.9,10.9,11.35,-4.0,14.386,16.11,-10.7,2,True,stable
orin,mobilenet-v2-100,capacity,0.591,0.011879,0.018789209535759098,-36.8,11.0,11.4,-3.5,15.706,17.39,-9.7,2,True,stable
orin,mobilenet-v2-100,e_inc,0.591,0.011879,0.018789209535759098,-36.8,11.0,11.4,-3.5,15.706,17.39,-9.7,2,True,stable
rasp5,mobilenet-v2-050,capacity,0.517,0.086544,0.10069767441860465,-14.1,4.9,4.9,0.0,10.683,9.23,15.7,0,True,stable
rasp5,mobilenet-v2-050,e_inc,0.517,0.086544,0.10069767441860465,-14.1,4.9,4.9,0.0,10.683,9.23,15.7,0,True,stable
rasp5,mobilenet-v2-100,capacity,0.591,0.189885,0.21461538461538462,-11.5,4.9,4.8,2.1,10.952,7.59,44.3,0,True,stable
rasp5,mobilenet-v2-100,e_inc,0.591,0.189885,0.21461538461538462,-11.5,4.9,4.8,2.1,10.952,7.59,44.3,0,True,stable
xavier,efficientnet-b4,capacity,0.732,0.513475,0.2642857142857143,94.3,9.7,10.0,-3.0,17.042,10.37,64.3,5,True,stable
xavier,efficientnet-b4,e_inc,0.732,0.513475,0.2642857142857143,94.3,9.7,10.0,-3.0,17.042,10.37,64.3,5,True,stable
xavier,mobilenet-v2-050,capacity,0.517,0.018227,0.02291764705882353,-20.5,9.7,9.6,1.0,14.467,14.47,-0.0,5,True,stable
xavier,mobilenet-v2-050,e_inc,0.517,0.018227,0.02291764705882353,-20.5,9.7,9.6,1.0,14.467,14.47,-0.0,5,True,stable
xavier,mobilenet-v2-100,capacity,0.591,0.033072,0.03755274261603376,-11.9,9.6,9.8,-2.0,15.502,15.14,2.4,5,True,stable
xavier,mobilenet-v2-100,e_inc,0.591,0.033072,0.03755274261603376,-11.9,9.6,9.8,-2.0,15.502,15.14,2.4,5,True,stable
