device,model,policy,accuracy,capacity_ips,capacity_ci_min,capacity_ci_max,capacity_binary_search_ips,p95_median_ms,p95_ci_max,warm_idle_w,serving_w,delta_w,marginal_wall_energy_j_per_inf,n_conf_runs,slo_infeasible,power_source
gpu-server,efficientnet-b4,e_inc,0.732,91.3,88.9,91.3,90.8,81.5,85.0,96.8,155.58,58.78,0.6438,3.0,False,20260418T004206+0900_868_gpu-server_effb4_e_inc_cuda_v2.json
gpu-server,mobilenet-v2-050,e_inc,0.517,584.0,581.4,590.4,585.0,55.8,123.5,101.7,132.25,30.55,0.0523,3.0,False,20260418T005959+0900_194_gpu-server_mob050_e_inc_cuda_v2.json
gpu-server,mobilenet-v2-100,e_inc,0.591,503.3,501.5,505.2,507.7,30.4,30.7,100.0,140.12,40.12,0.0797,3.0,False,20260418T011153+0900_443_gpu-server_mob100_e_inc_cuda_v2.json
jetson,efficientnet-b4,e_inc,0.732,,,,,,,,,,,,True,
jetson,mobilenet-v2-050,e_inc,0.517,99.1,96.3,101.0,98.9,85.0,108.2,3.0,7.82,4.82,0.0486,3.0,False,20260418T015221+0900_457_jetson_mob050_e_inc_trt_v2.json
jetson,mobilenet-v2-100,e_inc,0.591,49.9,49.3,50.6,50.0,85.8,87.7,3.7,7.6,3.9,0.0782,3.0,False,20260418T020951+0900_057_jetson_mob100_e_inc_trt_v2.json
lattepanda,efficientnet-b4,e_inc,0.732,,,,,,,,,,,,True,
lattepanda,mobilenet-v2-050,e_inc,0.517,131.7,129.8,132.2,132.3,64.1,145.4,4.4,15.16,10.76,0.0817,3.0,False,20260418T004244+0900_382_lattepanda_mob050_e_inc_cpu_v2.json
lattepanda,mobilenet-v2-100,e_inc,0.591,46.9,46.5,48.1,48.1,79.2,79.7,4.4,15.25,10.85,0.2313,3.0,False,20260418T010011+0900_512_lattepanda_mob100_e_inc_cpu_v2.json
orangepi,efficientnet-b4,e_inc,0.732,,,,,,,,,,,,True,
